SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y ,Rb,Ba,Hf,Nb,Ta,Th,U ,Pb,Zr,Sc,V ,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Crustal_Thickness
60.27214261,0.352292083,20.63425056,2.807647114,0.181178785,0.372423059,2.033228592,4.841499766,8.384551569,0.120785857,120,206,20,64,11,3.1,8.5,1.2,7,1.3,3.7,0.48,3.5,0.51,1012,34,196,1135,17.84,339,19.25,36.75,10.04,16.9,808,0.75,9,3,10,13.22605134,3.529411765,9.970588235,1513.333333,96.85714286,29.76470588,23.29113924,58.85714286,23.76470588,10.90909091,2,3.142857143,73.45454545,0.193675889,18.28571429,0.028587444,6.058823529,1.882352941,10.5,2.428571429,126.1111111,6.504950495,1.080882353,4,13.33333333,0.333333333,1.111111111,41.38798
55.19649429,1.280779986,17.15220558,10.24293855,0.256155997,1.670137102,4.580069231,5.809618018,3.053379488,0.758221752,54.2,131.6,16.46,69.7,13.58,3.94,12.66,1.99,10.91,2.13,6.01,0.89,5.58,0.85,412.5,58.9,20.7,443,15,55.6,3.2,3.6,1.3,3.6,709.9,14,14,2.1,89,8.862997507,0.920203735,0.943972835,31.64285714,9.964157706,7.003395586,6.598460445,23.58422939,12.05263158,3.991163476,1.955197133,2.433691756,52.27540501,0.050181818,12.49103943,0.056666667,2.234295416,1.18336163,0.64516129,2.268817204,31.64285714,1.935123043,0.061120543,0.15,6.357142857,0.15,6.357142857,34.26596
56.01554959,0.456706225,16.87688819,7.511678828,0.2124215,0.700990951,7.795869056,6.500097905,3.483712603,0.44608515,59.6,126.9,14.18,54.5,9.15,2.44,8.36,1.31,7.58,1.53,4.43,0.75,5.04,0.81,306.4,44.9,47.2,595,18.6,77.8,5.2,6.6,2.2,4.6,834,4,10,4.3,82,9.983810508,1.327394209,1.732739421,148.75,15.43650794,6.824053452,8.033286451,25.17857143,18.57461024,6.513661202,1.503968254,1.81547619,91.14754098,0.154046997,10.81349206,0.043548387,2.826280624,1.213808463,1.30952381,1.658730159,59.5,1.280653951,0.146993318,1.075,20.5,0.43,8.2,34.23087
60.29731041,0.230702753,17.09297669,5.642574071,0.199243287,0.356540618,4.488217193,6.386271659,5.180325451,0.125837865,69.2,196.5,19.51,79.6,15.24,2.91,14.35,2.45,14.56,2.95,8.23,1.33,8.65,1.35,338.1,74.3,42.4,529,26.8,96.4,5.3,4.5,1.4,4.7,1337.5,5,23,2.7,14,11.56659711,0.931359354,1.297442799,105.8,11.14450867,4.550471063,5.434599156,22.71676301,18.0013459,4.540682415,1.683236994,1.761849711,87.76246719,0.125406684,9.202312139,0.050373134,2.644683715,1.071332436,0.520231214,1.658959538,23,2.577102803,0.060565276,0.54,2.8,0.117391304,0.608695652,34.16934
56.19038497,1.148194123,17.1721068,7.250301259,0.121932119,4.867123762,8.189774012,3.52587045,1.280287253,0.254025249,20.2,38.4,4.5,18.2,3.7,1.25,3.7,0.53,3.63,0.7,2.06,0.31,1.9,0.34,420,23,30,329,3.7,11,0.55,4.55,4.55,6.1,153,18,144,68,88,4.806157703,0.87826087,0.47826087,18.27777778,5.789473684,18.26086957,7.222296247,20.21052632,6.652173913,5.459459459,1.910526316,1.947368421,41.35135135,0.071428571,9.578947368,0.091891892,1.669565217,0.791304348,2.394736842,1.947368421,2.284722222,0.586848635,0.197826087,3.777777778,4.888888889,0.472222222,0.611111111,44.2998
54.53809232,1.239040459,16.95047972,7.813358664,0.142184971,5.057722528,8.06391905,4.133520219,1.635127163,0.426554912,32.6,60.5,6.7,27,5.05,1.54,5,0.79,4.92,0.91,2.85,0.4,2.93,0.49,573,28,28,528,4.6,19,0.93,4.41,1.16,9,200,16,169,79,76,5.768647382,1.164285714,0.678571429,33,6.484641638,20.46428571,7.558358895,20.64846416,7.142857143,6.455445545,1.679180887,1.723549488,39.6039604,0.04886562,9.215017065,0.106521739,2.160714286,0.964285714,1.505119454,1.706484642,3.124260355,0.715365239,0.1575,4.9375,4.75,0.467455621,0.449704142,44.2998
54.57624963,1.906155778,15.86122255,8.765365045,0.180583179,4.574773867,7.925595075,4.88577823,0.993207484,0.331069161,12.8,30.2,4,18.9,4.48,1.56,4.9,0.9,5.15,1.04,3.08,0.47,3.05,0.48,415,33,15,175,4.7,7,0.45,1.65,0.7,5.1,214,26,163,32,11,5.878985714,0.387878788,0.212121212,6.730769231,2.295081967,12.57575758,2.850937262,9.901639344,6.484848485,2.857142857,1.68852459,1.468852459,47.76785714,0.036144578,6.196721311,0.10212766,0.915151515,0.572727273,0.540983607,1.606557377,1.073619632,0.741772152,0.05,1.230769231,0.423076923,0.196319018,0.067484663,43.61981
64.23321015,1.065194036,14.72178549,4.564643801,0.070343002,1.527448051,2.743377092,6.381115214,4.48185415,0.211029007,51.24,95.65,12.05,45.19,8.52,1.62,6.71,0.92,4.47,0.77,2.04,0.29,1.71,0.23,379,22,116,1040,6.46,27,1.99,19.57,2.29,19.04,238,6,59,27,36,10.86296936,2.329090909,1.227272727,173.3333333,15.78947368,17.22727273,20.35591087,55.93567251,10.81818182,6.014084507,2.614035088,4.98245614,27.9342723,0.306068602,26.42690058,0.035603715,4.347727273,2.054090909,11.44444444,3.923976608,17.62711864,3.95970696,0.889545455,4.5,6,0.457627119,0.610169492,28.40217
55.82951775,1.646501066,15.88924035,9.179809286,0.131316036,4.767782229,6.959749906,4.48494769,0.666681413,0.444454276,13.7,29.3,4.2,20.1,5,1.8,4.2,0.6,3,0.5,1.3,0.2,1,0.1,629,16,12,457,2.6,12,0.6,1.6,0.3,4.2,74,14,136,137,262,5.151629103,0.85625,0.75,32.64285714,12,39.3125,9.306751055,29.3,4.625,2.74,3,5,14.8,0.019077901,20.1,0.038461538,1.83125,1.25625,1.6,4.2,3.360294118,0.740203193,0.1,9.785714286,18.71428571,1.007352941,1.926470588,28.36505
55.7637169,1.507400911,15.12459303,10.55750705,0.1315182,5.372012641,6.970464613,3.561108191,0.819459555,0.192218908,11.3,23,2.85,14.2,3.5,1.39,3.29,0.48,2.56,0.48,1.11,0.14,0.94,0.15,494,12,15,385,2.57,11,0.76,1.73,0.34,3.36,103,14,151,121,276,4.380567746,0.941666667,0.916666667,27.5,11.70212766,41.16666667,8.166352455,24.46808511,8.583333333,3.228571429,2.723404255,3.723404255,29.42857143,0.030364372,15.10638298,0.058365759,1.916666667,1.183333333,1.840425532,3.5,2.549668874,0.628447025,0.144166667,8.642857143,19.71428571,0.801324503,1.82781457,27.75946
