SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y ,Rb,Ba,Hf,Nb,Ta,Th,U ,Pb,Zr,Sc,V ,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Crustal_Thickness
49.59811165,2.751516698,18.37042031,10.54535971,0.171969794,4.875849442,7.748756583,4.046348085,1.224020296,0.667647434,29,72,8.9,37,7.9,2.67,7.5,1.04,6.1,1.07,2.73,0.38,2.36,0.35,727,31,14,547,5,25,1.96,2.5,0.73,4.1,187,18,299,9,14,5.270368381,0.935483871,0.806451613,30.38888889,10.59322034,23.4516129,8.347636416,30.50847458,6.032258065,3.670886076,2.584745763,3.347457627,23.67088608,0.019257221,15.6779661,0.07,2.322580645,1.193548387,1.059322034,3.177966102,1.829431438,0.680156658,0.080645161,0.5,0.777777778,0.030100334,0.046822742,38.70708
50.47832262,2.633299334,16.93414033,11.46037393,0.182305339,4.699426504,8.386045572,3.494185655,1.336905816,0.3949949,26,63,8.2,33,7.2,2.23,6.3,1.05,5.9,1.2,3.07,0.46,2.6,0.38,432,31,28,463,5,26,2.06,3.9,0.79,5.6,196,26,346,24,46,4.831091471,0.838709677,0.838709677,17.80769231,10,13.93548387,6.793248945,24.23076923,6.322580645,3.611111111,2.269230769,2.769230769,27.22222222,0.064814815,12.69230769,0.076,2.032258065,1.064516129,1.5,2.423076923,1.338150289,0.576086957,0.125806452,0.923076923,1.769230769,0.069364162,0.132947977,37.98869
50.74082414,2.390663705,16.5928269,11.71765176,0.192468688,5.034575683,8.357193034,3.423916662,1.2763713,0.273508136,26,58,7.4,30,6.5,1.89,6,0.95,5.4,1.07,2.76,0.4,2.45,0.35,447,31,24,447,5,19,1.67,3.2,0.66,5.7,187,29,327,15,28,4.700287962,0.838709677,0.612903226,15.4137931,7.755102041,14.41935484,7.209162146,23.67346939,6.032258065,4,2.204081633,2.653061224,28.76923077,0.053691275,12.24489796,0.07,1.870967742,0.967741935,1.306122449,2.448979592,1.366972477,0.562424242,0.103225806,0.517241379,0.965517241,0.04587156,0.085626911,38.6623
50.8332799,2.359863363,16.4684027,11.69249502,0.19243521,5.003315455,8.20381684,3.696781663,1.266021117,0.28358873,27,65,8,30.7,6.5,2.01,6.4,0.93,5.6,1.02,2.71,0.38,2.48,0.35,440,32,25,460,5,25,1.73,3.6,0.76,5.9,204,24,333,16,30,4.96280278,0.84375,0.78125,19.16666667,10.08064516,13.75,7.395875868,26.20967742,6.375,4.153846154,2.258064516,2.620967742,31.38461538,0.056818182,12.37903226,0.07,2.03125,0.959375,1.451612903,2.580645161,1.381381381,0.604938272,0.1125,0.666666667,1.25,0.048048048,0.09009009,38.6623
49.56363475,2.826313407,14.04904694,13.5601958,0.175355211,5.260656341,8.086969748,4.208525073,1.815442188,0.453860547,45.9,91.9,11.1,43,7.67,2.33,6.46,0.9,4.82,0.87,2.36,0.31,1.83,0.27,760,24,34,710,5.59,52,2.72,5.02,0.73,7.82,266,53,241,37,54,6.023967261,1.9125,2.166666667,13.39622642,28.41530055,31.66666667,17.03880473,50.21857923,11.08333333,5.984354628,2.633879781,4.191256831,34.68057366,0.044736842,23.49726776,0.048300537,3.829166667,1.791666667,2.743169399,3.530054645,2.946058091,0.744897959,0.209166667,0.698113208,1.018867925,0.153526971,0.22406639,38.35906
49.92981753,1.774613996,16.14196912,11.01864849,0.190495288,5.905353919,11.1389613,2.697012232,0.862241829,0.340886304,21.4,42.9,4.9,19.4,3.76,1.25,3.58,0.55,3.2,0.64,1.8,0.28,1.71,0.27,357,18,15,273,1.87,31,2.03,2.375,0.655,1.7,75,29,352,50.5,93.9,3.559254061,1.188888889,1.722222222,9.413793103,18.12865497,19.83333333,8.501492832,25.0877193,4.166666667,5.691489362,1.871345029,2.198830409,19.94680851,0.042016807,11.34502924,0.144385027,2.383333333,1.077777778,1.388888889,2.093567251,0.775568182,0.319531953,0.131944444,1.74137931,3.237931034,0.143465909,0.266761364,25.63933
48.7084989,4.235961196,13.53687838,13.75421251,0.222413237,5.368246766,9.725524273,3.08345624,0.768336637,0.596471863,22.2,47,6.88,31.5,7.62,3.02,8.06,1.218,6.9,1.293,3.34,0.466,2.86,0.415,399,33,11,418,5.07,23,1.58,1.82,0.41,2.11,198,35.7,434,20,97,3.851792877,0.672727273,0.696969697,11.70868347,8.041958042,12.09090909,5.273081349,16.43356643,6,2.913385827,2.412587413,2.664335664,25.98425197,0.027568922,11.01398601,0.081854043,1.424242424,0.954545455,0.636363636,2.818181818,0.963133641,0.396049896,0.055151515,0.56022409,2.717086835,0.046082949,0.223502304,40.71842
50.93936821,3.158872604,14.10283769,12.47884906,0.213988144,5.26818431,9.435858165,3.169062515,0.855952577,0.37702673,21.8,49,6.54,29.6,7.01,2.56,7.27,1.156,6.514,1.273,3.39,0.486,3.04,0.455,355,33,13,443,5.34,22,1.53,2.2,0.52,3.05,195,35.4,366,35,71,4.025015092,0.660606061,0.666666667,12.51412429,7.236842105,10.75757576,4.871474573,16.11842105,5.909090909,3.109843081,2.142763158,2.305921053,27.81740371,0.036619718,9.736842105,0.085205993,1.484848485,0.896969697,0.723684211,2.391447368,1.210382514,0.426565875,0.066666667,0.988700565,2.005649718,0.095628415,0.193989071,41.33435
51.49368467,3.142371713,14.09430985,11.83844344,0.206057162,4.955674735,9.26226941,3.399943165,1.143617247,0.463628614,25.8,61,7.39,33.4,7.57,2.59,7.74,1.209,6.69,1.293,3.52,0.488,3.06,0.429,363,36,18,621,5.13,24,1.45,2.19,0.51,3.2,208,31,353,18,62,4.543560412,0.716666667,0.666666667,20.03225806,7.843137255,10.08333333,5.727641267,19.93464052,5.777777778,3.408190225,2.18627451,2.473856209,27.47688243,0.049586777,10.91503268,0.083625731,1.694444444,0.927777778,0.715686275,2.529411765,1.759206799,0.49054505,0.060833333,0.580645161,2,0.050991501,0.175637394,40.67981
51.07726909,3.329798045,13.81815274,13.03830182,0.213840241,4.897959815,9.113667433,3.14650641,0.906275309,0.458229089,26.4,61,7.84,35.8,8.08,2.67,8.68,1.336,7.78,1.48,4.09,0.598,3.59,0.513,350,40,17,461,6.36,26,5.08,2.79,0.75,3.52,217,31.8,385,16,38,4.052781719,0.66,0.65,14.49685535,7.242339833,8.75,4.995592539,16.99164345,5.425,3.267326733,2.167130919,2.250696379,26.85643564,0.048571429,9.972144847,0.080660377,1.525,0.895,0.777158774,2.417827298,1.197402597,0.444692737,0.06975,0.503144654,1.194968553,0.041558442,0.098701299,40.67981
